,context,question,answer_start,text,sentences,target,sent_emb,quest_emb,cosine_sim,euclidean_dis,pred_sen_cos
10,The university is the major seat of the Congre...,Where is the headquarters of the Congregation ...,119,Rome,[The university is the major seat of the Congr...,0,"[[0.07278652, 0.11468702, 0.036561128, 0.00085...","[[0.06501997, 0.13180108, -0.0019753189, -0.00...","[0.25486505031585693, 0.3074626326560974, 0.34...","[9.643317, 12.5554905, 16.011751, 12.947239, 1...",The university is the major seat of the Congre...
11,The university is the major seat of the Congre...,What is the primary seminary of the Congregati...,145,Moreau Seminary,[The university is the major seat of the Congr...,5,"[[0.07278652, 0.11468702, 0.036561128, 0.00085...","[[0.0711433, 0.08920594, -0.007767187, 0.03094...","[0.2408435344696045, 0.2794446349143982, 0.309...","[9.240584, 11.625, 14.73934, 12.287535, 9.6016...",The university is the major seat of the Congre...
12,The university is the major seat of the Congre...,What is the oldest structure at Notre Dame?,234,Old College,[The university is the major seat of the Congr...,2,"[[0.07278652, 0.11468702, 0.036561128, 0.00085...","[[0.0711433, 0.054118328, 0.017903753, 0.04713...","[0.3527829051017761, 0.3321415185928345, 0.318...","[13.567711, 13.846157, 15.199486, 15.804576, 1...","Old College, the oldest building on campus and..."
13,The university is the major seat of the Congre...,What individuals live at Fatima House at Notre...,356,Retired priests and brothers,[The university is the major seat of the Congr...,3,"[[0.07278652, 0.11468702, 0.036561128, 0.00085...","[[0.14920035, 0.05743567, 0.08464194, 0.056997...","[0.3863566517829895, 0.35302913188934326, 0.34...","[15.073729, 14.854823, 16.454676, 13.113268, 1...","While not Catholic, Buechner has praised write..."
14,The university is the major seat of the Congre...,Which prize did Frederick Buechner create?,675,Buechner Prize for Preaching,[The university is the major seat of the Congr...,5,"[[0.07278652, 0.11468702, 0.036561128, 0.00085...","[[0.023871653, 0.0029113665, -0.009422602, 0.0...","[0.5692628622055054, 0.5410385429859161, 0.582...","[19.253742, 20.027372, 24.360714, 19.273872, 1...",The university through the Moreau Seminary has...
15,The College of Engineering was established in ...,How many BS level degrees are offered in the C...,487,eight,[The College of Engineering was established in...,1,"[[0.045026034, 0.15410224, 0.051600616, 0.0577...","[[0.070397414, 0.13584757, 0.04557815, 0.10059...","[0.24941325187683105, 0.26974570751190186, 0.5...","[11.098796, 14.666399, 17.533457, 10.795256, 1...",The College of Engineering was established in ...
16,The College of Engineering was established in ...,In what year was the College of Engineering at...,46,1920,[The College of Engineering was established in...,0,"[[0.045026034, 0.15410224, 0.051600616, 0.0577...","[[0.04265439, 0.15114844, -0.0078012166, 0.097...","[0.24019402265548706, 0.3093497157096863, 0.73...","[10.469982, 16.435356, 19.607384, 12.729876, 1...",The College of Engineering was established in ...
17,The College of Engineering was established in ...,Before the creation of the College of Engineer...,126,the College of Science,[The College of Engineering was established in...,0,"[[0.045026034, 0.15410224, 0.051600616, 0.0577...","[[0.011295724, 0.1341159, 0.048346218, 0.09204...","[0.19664794206619263, 0.22852224111557007, 0.7...","[8.870774, 12.653417, 22.16575, 10.881164, 12....",The College of Engineering was established in ...
18,The College of Engineering was established in ...,How many departments are within the Stinson-Re...,271,five,[The College of Engineering was established in...,3,"[[0.045026034, 0.15410224, 0.051600616, 0.0577...","[[0.08830546, 0.15522459, 0.005631026, -0.0182...","[0.3254440426826477, 0.33215218782424927, 0.68...","[13.283598, 17.29889, 14.726282, 13.715899, 11...",The College of Engineering was established in ...
19,The College of Engineering was established in ...,The College of Science began to offer civil en...,155,the 1870s,[The College of Engineering was established in...,0,"[[0.045026034, 0.15410224, 0.051600616, 0.0577...","[[0.028315721, 0.16331045, 0.03654129, 0.08100...","[0.18169885873794556, 0.21583861112594604, 0.7...","[8.430401, 12.0981865, 22.432892, 10.710129, 1...",The College of Engineering was established in ...
20,All of Notre Dame's undergraduate students are...,What entity provides help with the management ...,496,Learning Resource Center,[All of Notre Dame's undergraduate students ar...,3,"[[0.04991942, 0.17617176, 0.024901638, 0.06163...","[[0.073685706, 0.10863504, 0.020699369, 0.0552...","[0.2093052864074707, 0.263028085231781, 0.2609...","[9.784414, 11.733615, 9.851534, 10.82476, 14.4...",All of Notre Dame's undergraduate students are...
21,All of Notre Dame's undergraduate students are...,How many colleges for undergraduates are at No...,68,five,[All of Notre Dame's undergraduate students ar...,0,"[[0.04991942, 0.17617176, 0.024901638, 0.06163...","[[0.051024925, 0.0950315, 0.024545109, 0.07360...","[0.22917652130126953, 0.3465944528579712, 0.36...","[10.552029, 14.996523, 13.241382, 16.532476, 1...",All of Notre Dame's undergraduate students are...
22,All of Notre Dame's undergraduate students are...,What was created at Notre Dame in 1962 to assi...,155,The First Year of Studies program,[All of Notre Dame's undergraduate students ar...,1,"[[0.04991942, 0.17617176, 0.024901638, 0.06163...","[[0.06581897, 0.08099202, 0.006697529, 0.10632...","[0.19984900951385498, 0.1935768723487854, 0.37...","[9.398685, 8.784353, 14.159397, 16.223297, 14....",The First Year of Studies program was establis...
23,All of Notre Dame's undergraduate students are...,Which organization declared the First Year of ...,647,U.S. News & World Report,[All of Notre Dame's undergraduate students ar...,4,"[[0.04991942, 0.17617176, 0.024901638, 0.06163...","[[0.04463193, 0.17273444, -0.00077002164, 0.04...","[0.1692265272140503, 0.18344593048095703, 0.31...","[8.120678, 8.486079, 12.733421, 13.808327, 11....",All of Notre Dame's undergraduate students are...
24,"The university first offered graduate degrees,...",The granting of Doctorate degrees first occurr...,358,1924,[The university first offered graduate degrees...,3,"[[0.045501996, 0.12919986, 0.050561074, 0.1169...","[[0.05552545, 0.119146906, 0.08395186, 0.16107...","[0.19853341579437256, 0.3246939778327942, 0.24...","[8.137953, 12.076534, 11.535269, 10.106514, 12...","The university first offered graduate degrees,..."
25,"The university first offered graduate degrees,...",What type of degree is an M.Div.?,624,Master of Divinity,[The university first offered graduate degrees...,5,"[[0.045501996, 0.12919986, 0.050561074, 0.1169...","[[0.09156412, 0.11179343, 0.04754322, 0.053744...","[0.330371618270874, 0.36753928661346436, 0.362...","[11.367037, 10.354095, 15.490159, 12.807585, 1...",Most of the departments from the College of Ar...
26,"The university first offered graduate degrees,...",Which program at Notre Dame offers a Master of...,1163,Alliance for Catholic Education,[The university first offered graduate degrees...,11,"[[0.045501996, 0.12919986, 0.050561074, 0.1169...","[[0.04169572, 0.11714862, -0.020448163, 0.0798...","[0.2357642650604248, 0.2925860285758972, 0.290...","[8.915132, 9.6490135, 13.169037, 11.760729, 10...",The School of Architecture offers a Master of ...
27,"The university first offered graduate degrees,...",In what year was a Master of Arts course first...,92,1854,[The university first offered graduate degrees...,0,"[[0.045501996, 0.12919986, 0.050561074, 0.1169...","[[0.04265439, 0.16332884, -0.009559449, 0.0977...","[0.20962023735046387, 0.3415824770927429, 0.25...","[8.094987, 11.639246, 11.973327, 11.707626, 12...","The university first offered graduate degrees,..."
28,"The university first offered graduate degrees,...",Which department at Notre Dame is the only one...,757,Department of Pre-Professional Studies,[The university first offered graduate degrees...,7,"[[0.045501996, 0.12919986, 0.050561074, 0.1169...","[[0.031438652, 0.078050554, -0.0111505715, 0.0...","[0.3018481135368347, 0.3609424829483032, 0.273...","[11.547777, 12.1633, 12.54866, 13.674575, 12.1...",All of the departments in the College of Scien...
29,The Joan B. Kroc Institute for International P...,What institute at Notre Dame studies the reas...,4,Joan B. Kroc Institute for International Peace...,[The Joan B. Kroc Institute for International ...,0,"[[0.0049156453, 0.15959986, 0.14992826, 0.0335...","[[0.034025513, 0.073776975, 0.09649176, 0.0813...","[0.1939292550086975, 0.3667881488800049, 0.395...","[11.05654, 13.827663, 15.794554, 12.107426, 12...",The Joan B. Kroc Institute for International P...
...,...,...,...,...,...,...,...,...,...,...,...
1284,"On 12 July 2007, European Court of Human Right...",Conversely the scholars who did view the Serbs...,712,the ICTY,"[On 12 July 2007, European Court of Human Righ...",2,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,...","[[0.06417567, 0.035341028, 0.053492047, -0.009...","[nan, 0.18624567985534668, 0.19592499732971191]","[18.132526965702795, 12.18901585155866, 12.711...","On 12 July 2007, European Court of Human Right..."
1285,About 30 people have been indicted for partici...,"In the 1990s, how many people were indicted fo...",0,About 30,[About 30 people have been indicted for partic...,0,"[[0.12603906, 0.12204736, 0.089454345, 0.13799...","[[0.08227333, 0.10518579, 0.10540167, 0.063154...","[0.1495024561882019, 0.2054418921470642, 0.191...","[6.6704335, 13.2338915, 9.49597, 10.979563]",About 30 people have been indicted for partici...
1286,About 30 people have been indicted for partici...,Convicted perpetrators Popovic and Beara were ...,140,several plea bargains,[About 30 people have been indicted for partic...,1,"[[0.12603906, 0.12204736, 0.089454345, 0.13799...","[[0.06588993, 0.12662765, 0.05977787, 0.085857...","[0.26930850744247437, 0.21086573600769043, 0.2...","[11.141676, 13.842791, 11.474266, 13.540981]","To date, after several plea bargains and some ..."
1287,About 30 people have been indicted for partici...,Tolimir was found guilty of both genocide and ...,383,conspiracy to commit genocide,[About 30 people have been indicted for partic...,1,"[[0.12603906, 0.12204736, 0.089454345, 0.13799...","[[0.04646791, 0.15645358, 0.07120089, 0.112640...","[0.2922319173812866, 0.22108137607574463, 0.26...","[11.911401, 14.462783, 12.360867, 15.241995]","To date, after several plea bargains and some ..."
1288,About 30 people have been indicted for partici...,Another charge beyond the act of genocide and ...,491,aiding and abetting genocide,[About 30 people have been indicted for partic...,1,"[[0.12603906, 0.12204736, 0.089454345, 0.13799...","[[0.023825211, 0.09887299, 0.060889833, 0.0326...","[0.2446853518486023, 0.20812475681304932, 0.21...","[9.933836, 14.102963, 10.485981, 12.984165]","To date, after several plea bargains and some ..."
1289,About 30 people have been indicted for partici...,Three others were charged with participating i...,600,German courts,[About 30 people have been indicted for partic...,2,"[[0.12603906, 0.12204736, 0.089454345, 0.13799...","[[0.12345305, 0.10810114, 0.0471482, 0.0328521...","[0.1871998906135559, 0.2511480450630188, 0.139...","[7.9322453, 15.79566, 6.983371, 11.284559]",Three others have been found guilty of partici...
1290,"Slobodan Miloševi?, as the former President of...",What event occurred in March 2006 that essenti...,138,He died,"[Slobodan Miloševi?, as the former President o...",1,"[[0.038786467, 0.11592787, 0.08207173, 0.03707...","[[0.0997905, 0.17305142, 0.045800015, 0.058689...","[0.40851086378097534, 0.24222135543823242, 0.3...","[16.629969, 13.49575, 18.707325, 13.066549, 14...",He died on 11 March 2006 during his trial wher...
1291,"Slobodan Miloševi?, as the former President of...",Where was Karadzic when he was finally arrested?,495,Belgrade,"[Slobodan Miloševi?, as the former President o...",3,"[[0.038786467, 0.11592787, 0.08207173, 0.03707...","[[0.02088123, 0.025441902, 0.060905293, 0.1474...","[0.42044830322265625, 0.38056230545043945, 0.3...","[16.300694, 19.566093, 18.237373, 19.007946, 1...",Ratko Mladi? was arrested on 26 May 2011 by Se...
1292,"Slobodan Miloševi?, as the former President of...","With Milosevic dead, who did the ICTY next cha...",380,Radovan Karadži? and Ratko Mladi?,"[Slobodan Miloševi?, as the former President o...",2,"[[0.038786467, 0.11592787, 0.08207173, 0.03707...","[[0.13207208, 0.101349406, 0.07493037, 0.02024...","[0.24036377668380737, 0.1868455410003662, 0.16...","[10.089048, 10.85963, 9.153068, 10.450157, 12....","In 1995, the ICTY issued a warrant for the arr..."
1293,"Slobodan Miloševi?, as the former President of...","Had Milosevic not died, what charges might he ...",204,genocide or complicity in genocide,"[Slobodan Miloševi?, as the former President o...",1,"[[0.038786467, 0.11592787, 0.08207173, 0.03707...","[[0.034679312, 0.13839164, 0.011298731, 0.1228...","[0.4154431223869324, 0.3051775097846985, 0.376...","[16.581863, 16.366161, 18.331675, 17.460337, 1...",He died on 11 March 2006 during his trial wher...
1294,"Slobodan Miloševi?, as the former President of...",Which former president was by far the most sen...,0,Slobodan Miloševi?,"[Slobodan Miloševi?, as the former President o...",0,"[[0.038786467, 0.11592787, 0.08207173, 0.03707...","[[0.092072524, 0.11427084, 0.09526285, 0.02227...","[0.1863594651222229, 0.2554224729537964, 0.223...","[8.281502, 14.257523, 11.854059, 13.477533, 14...","Slobodan Miloševi?, as the former President of..."
1295,The International Criminal Tribunal for Rwanda...,What court was established under the aegis of ...,4,International Criminal Tribunal for Rwanda (ICTR),[The International Criminal Tribunal for Rwand...,0,"[[0.07526416, 0.17732123, 0.105173595, 0.10501...","[[0.1757393, 0.11323905, 0.076514065, -0.01795...","[0.19322240352630615, 0.20771872997283936]","[10.598076, 13.166261]",The International Criminal Tribunal for Rwanda...
1296,The International Criminal Tribunal for Rwanda...,The prosecutorial efforts of the ICTR focused ...,206,Apr-94,[The International Criminal Tribunal for Rwand...,0,"[[0.07526416, 0.17732123, 0.105173595, 0.10501...","[[0.13569272, 0.1179612, 0.07318312, 0.1001356...","[0.2269514799118042, 0.25557392835617065]","[12.142346, 15.842886]",The International Criminal Tribunal for Rwanda...
1297,The International Criminal Tribunal for Rwanda...,the ICTR was created in November 1995 by which...,284,the Security Council of the United Nations,[The International Criminal Tribunal for Rwand...,1,"[[0.07526416, 0.17732123, 0.105173595, 0.10501...","[[0.09264767, 0.08736947, 0.03997628, -0.03411...","[0.17207175493240356, 0.15555435419082642]","[9.531919, 10.628028]",The ICTR was created on 8 November 1994 by the...
1298,The International Criminal Tribunal for Rwanda...,The ICTR was established for the purpose of co...,405,serious violations of the international law,[The International Criminal Tribunal for Rwand...,1,"[[0.07526416, 0.17732123, 0.105173595, 0.10501...","[[0.027809637, 0.084909774, 0.037773322, -0.01...","[0.2333088517189026, 0.21717166900634766]","[12.458493, 14.074448]",The ICTR was created on 8 November 1994 by the...
1299,The International Criminal Tribunal for Rwanda...,The charges of genocide brought up by the ICTR...,493,Rwandan citizens,[The International Criminal Tribunal for Rwand...,1,"[[0.07526416, 0.17732123, 0.105173595, 0.10501...","[[0.053157397, 0.13186869, 0.047012143, 0.0384...","[0.2594396471977234, 0.249162495136261]","[13.63699, 15.721923]",The ICTR was created on 8 November 1994 by the...
1300,There has been much debate over categorizing t...,What has been widely debated as a possible act...,49,situation in Darfur,[There has been much debate over categorizing ...,0,"[[0.08831291, 0.08463637, 0.12961613, -0.00980...","[[0.12630546, 0.09804953, 0.09752906, -0.01092...","[0.15765362977981567, 0.30165934562683105, 0.3...","[5.2903547, 16.728203, 10.829367, 15.953733, 1...",There has been much debate over categorizing t...
1301,There has been much debate over categorizing t...,In 2003 what well known U.S. Secretary of Stat...,206,Colin Powell,[There has been much debate over categorizing ...,1,"[[0.08831291, 0.08463637, 0.12961613, -0.00980...","[[0.07395981, 0.1781809, 0.10364275, -0.026163...","[0.22855281829833984, 0.14281904697418213, 0.2...","[8.763623, 8.811702, 10.348592, 9.53195, 10.55...","The ongoing conflict in Darfur, Sudan, which s..."
1302,There has been much debate over categorizing t...,In front of which committee did Powell testify?,259,the Senate Foreign Relations Committee,[There has been much debate over categorizing ...,1,"[[0.08831291, 0.08463637, 0.12961613, -0.00980...","[[0.03791212, 0.109354794, 0.05011707, -0.0453...","[0.5200848579406738, 0.48381078243255615, 0.48...","[14.292874, 23.963306, 13.58374, 24.93778, 22....","Since that time however, no other permanent me..."
1303,There has been much debate over categorizing t...,What did UN Security Council Resolution 1564 a...,418,an International Commission of Inquiry on Darfur,[There has been much debate over categorizing ...,3,"[[0.08831291, 0.08463637, 0.12961613, -0.00980...","[[0.09053914, 0.15442671, 0.021334289, -0.0301...","[0.3866863250732422, 0.21404123306274414, 0.25...","[15.319214, 12.499605, 10.268753, 9.48256, 15....","In fact, in January 2005, an International Com..."
1304,There has been much debate over categorizing t...,"Despite some concessions, what act did the Com...",717,genocidal policy,[There has been much debate over categorizing ...,4,"[[0.08831291, 0.08463637, 0.12961613, -0.00980...","[[0.04509983, 0.11149735, 0.05300868, -0.00345...","[0.2648986577987671, 0.3016588091850281, 0.244...","[8.86651, 16.724478, 8.258234, 15.136455, 10.7...","Nevertheless, the Commission cautioned that ""T..."
1305,"In March 2005, the Security Council formally r...",To whom did the Security Council officially re...,85,Prosecutor of the International Criminal Court,"[In March 2005, the Security Council formally ...",0,"[[0.06807378, 0.1364945, 0.129188, 0.020367889...","[[0.07996486, 0.14591399, 0.117714, -0.0361349...","[0.1945042610168457, 0.26933109760284424, 0.22...","[10.874943, 11.674158, 13.451405]","In March 2005, the Security Council formally r..."
1306,"In March 2005, the Security Council formally r...","What was taken into account, without mentionin...",153,the Commission report,"[In March 2005, the Security Council formally ...",0,"[[0.06807378, 0.1364945, 0.129188, 0.020367889...","[[0.06455771, 0.05480244, 0.06585684, 0.014749...","[0.28257566690444946, 0.3870089650154114, 0.29...","[14.906737, 15.762444, 17.116547]","In March 2005, the Security Council formally r..."
1307,"In March 2005, the Security Council formally r...",China and what other permanent member of the S...,266,the United States,"[In March 2005, the Security Council formally ...",1,"[[0.06807378, 0.1364945, 0.129188, 0.020367889...","[[0.13147855, 0.1305716, 0.012179466, -0.06195...","[0.20509177446365356, 0.0884706974029541, 0.19...","[11.316582, 4.1944127, 12.062424]","Two permanent members of the Security Council,..."
1308,"In March 2005, the Security Council formally r...",In which number report to the Council did the ...,353,his fourth report,"[In March 2005, the Security Council formally ...",2,"[[0.06807378, 0.1364945, 0.129188, 0.020367889...","[[0.06884658, 0.1352113, 0.062470675, -0.02546...","[0.19580936431884766, 0.2873077392578125, 0.15...","[10.783797, 12.843733, 9.720483]",As of his fourth report to the Security Counci...
1309,Other authors have focused on the structural c...,"In the build-up to genocide, what have other a...",34,structural conditions,[Other authors have focused on the structural ...,0,"[[0.07254107, 0.10750409, 0.17493294, -0.04089...","[[0.0705382, 0.07985945, 0.035351265, -0.00965...","[0.19485551118850708, 0.30586397647857666, 0.3...","[7.7389507, 14.102922, 9.333578, 13.29874, 9.8...",Other authors have focused on the structural c...
1310,Other authors have focused on the structural c...,What processes are thought to create an evolut...,87,psychological and social,[Other authors have focused on the structural ...,0,"[[0.07254107, 0.10750409, 0.17493294, -0.04089...","[[0.076663, 0.06427507, 0.07001968, -0.0722825...","[0.15985262393951416, 0.31182146072387695, 0.2...","[6.458532, 14.455538, 8.783027, 12.706352, 9.8...",Other authors have focused on the structural c...
1311,Other authors have focused on the structural c...,Who revealed the starting points of this evolu...,164,Ervin Staub,[Other authors have focused on the structural ...,1,"[[0.07254107, 0.10750409, 0.17493294, -0.04089...","[[0.089763485, 0.14696044, 0.15361711, 0.15742...","[0.221624493598938, 0.18062210083007812, 0.288...","[9.013749, 8.944246, 9.750739, 10.639122, 10.0...",Ervin Staub showed that economic deterioration...
1312,Other authors have focused on the structural c...,A history of what is just one factor that cont...,469,devaluation of the group,[Other authors have focused on the structural ...,3,"[[0.07254107, 0.10750409, 0.17493294, -0.04089...","[[0.10884707, 0.10217217, 0.104326956, 0.05239...","[0.22032058238983154, 0.24083495140075684, 0.2...","[8.7602215, 11.537004, 8.950649, 9.314146, 8.6...",A history of devaluation of the group that bec...
1313,Other authors have focused on the structural c...,What is one preventive effort in circumventing...,995,humanizing a devalued group,[Other authors have focused on the structural ...,5,"[[0.07254107, 0.10750409, 0.17493294, -0.04089...","[[0.0711433, 0.088201605, 0.088277236, -0.0178...","[0.25040268898010254, 0.3216036558151245, 0.29...","[9.618982, 14.69133, 8.338482, 14.290906, 8.21...",Intense conflict between groups that is unreso...
